Inv_Id,Vendor_Code,GL_Code,Inv_Amt,Item_Description,Product_Category
15067,VENDOR-1873,GL-6050310,75.14,May 2015 Cooper Laboratories Inc Stockholders Liquidating Trust Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,CLASS-1758
15068,VENDOR-1619,GL-6101400,8.76,General Contractor General Requirements Final Site Clean Up Carrols Corp 2006-Jan  Store Construction,CLASS-1522
15069,VENDOR-1926,GL-6050100,55.69,Store Management Base Rent Real Estate Lease/Rent 2013-Jun  First Lexington Capital Corp                            /Adv,CLASS-1274
15070,VENDOR-1308,GL-6101400,22.05,General Contractor General Requirements Final Site Clean Up Atlas Corp 2009-Feb  Store Construction,CLASS-1522
15071,VENDOR-2160,GL-6100410,94.53,SMAP Artworking/Typesetting Electro Catheter Corp Production Prototype and Comp Production/Packaging Design Jan-2018,CLASS-1963
15072,VENDOR-1807,GL-6050100,40.71,Base Rent May2016 Store Management Compuserve Corp Real Estate Lease/Rent,CLASS-1274
15073,VENDOR-1679,GL-6100500,51.57,Mar 2003 Frank Chappelle & Co Inc                                /Bd Magazines Media Buy - Traditional SMAP National Advertising,CLASS-1721
15074,VENDOR-2238,GL-6050310,1.03,Parcel/Postage/Courier Supply Chain Exolon Esk Co Oct-2010 Transportation Services Logistics,CLASS-1870
15075,VENDOR-2416,GL-6050310,20.48,Miscellaneous Company Car (Field Only) 2001Jul Travel and Entertainment Metric Capital Corp                                     /Bd Ground Transportation Miscellaneous Company Car (Field Only),CLASS-1758
15076,VENDOR-1022,GL-6050100,45.18,Store Management Lease/Rent Ace Hardware Corp Real Estate Base Rent Apr2016,CLASS-1274
15077,VENDOR-1066,GL-6050310,79.22,Oct-2010 Akzo Nobel Nv Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,CLASS-1758
15078,VENDOR-1551,GL-6050310,30.21,Miscellaneous Company Car (Field Only) 2019-Nov  Travel and Entertainment Butler Manufacturing Co Ground Transportation Miscellaneous Company Car (Field Only),CLASS-1758
15080,VENDOR-1759,GL-6100410,42.58,Production SMAP Agency Fees & Commissions 3 Other Agency Feb 2008 Coherent Inc,CLASS-1828
15081,VENDOR-1792,GL-6050100,95.41,Store Management Lease/Rent Commonwealth Edison Co Real Estate Base Rent Jun2013,CLASS-1274
15082,VENDOR-1771,GL-6101400,45.85,Store Construction Final Site Clean Up General Contractor General Requirements 2016Oct Colonial Trust Iii,CLASS-1522
15083,VENDOR-1119,GL-6101400,34.02,Store Construction Final Site Clean Up General Contractor General Requirements 2010Apr Asia Supernet Corp,CLASS-1522
15085,VENDOR-1883,GL-2182000,57.7,Auto Leasing Jan-2010 Corporate Services Corning Inc /Ny Other Corporate Services Auto Leasing and Maintenance,CLASS-1250
15086,VENDOR-2333,GL-6050100,73.49,Store Management Lease/Rent Bancwest Corp/Hi Real Estate Base Rent Jul 2003,CLASS-1274
15087,VENDOR-1799,GL-6101400,91.77,Westford Group Inc Final Site Clean Up 2007Dec General Requirements General Contractor Store Construction,CLASS-1522
15090,VENDOR-1191,GL-6101400,50.54,Store Construction Final Site Clean Up General Contractor General Requirements May-2016 American Pad & Paper Co,CLASS-1522
15091,VENDOR-1771,GL-6101400,77.71,Colonial Trust Iii Final Site Clean Up Jan-2012 General Requirements General Contractor Store Construction,CLASS-1522
15092,VENDOR-1944,GL-2182000,49.24,Auto Leasing and Maintenance Other Corporate Services 2007-Jan  Daly John J Corporate Services Auto Fleet Repair and Maintenance,CLASS-1249
15094,VENDOR-1554,GL-6100410,80.08,"Prototype and Comp Production/Packaging Design 2009-Feb  SMAP Cv Brokerage, Inc Production Artworking/Typesetting",CLASS-1963
15095,VENDOR-1513,GL-6050310,2.44,Travel and Entertainment Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only) Jan2018,CLASS-1758
15097,VENDOR-2333,GL-6050100,51.07,Real Estate Store Management Lease/Rent Base Rent 2015-Oct  Bancwest Corp/Hi,CLASS-1274
15098,VENDOR-1694,GL-6100410,23.05,SMAP Other Agency Production Agency Fees & Commissions 3 Jul2001 Cherry Corp,CLASS-1828
15099,VENDOR-2110,GL-6100500,10.02,SMAP Magazines National Advertising Media Buy - Traditional Nov-2014 Eac Industries Inc,CLASS-1721
15100,VENDOR-2041,GL-6101400,94.38,Diversified Capital Corporation Final Site Clean Up 2004Apr General Requirements General Contractor Store Construction,CLASS-1522
15101,VENDOR-1286,GL-2182000,1.47,Corporate Services Contingent Labor/Temp Labor Human Resources Contingent Labor/Temp Labor 2013-Jan  Ashland Inc,CLASS-1376
15102,VENDOR-1417,GL-6050100,56.98,Real Estate Store Management Lease/Rent Base Rent May2011 Best Lock Corp,CLASS-1274
15103,VENDOR-1785,GL-6060100,60.04,Final Site Clean Up Facility Construction Hancock John Investment Trust /Ma/ Dec2006 General Requirements General Contractor,CLASS-1522
15105,VENDOR-1551,GL-2182000,91.23,Auto Leasing Corporate Services Butler Manufacturing Co 2003-Nov  Auto Leasing and Maintenance Other Corporate Services,CLASS-1250
15106,VENDOR-2353,GL-6050100,81.31,Store Management Base Rent Real Estate Lease/Rent Dec-2004 First Real Estate Investment Trust Of New Jersey,CLASS-1274
15108,VENDOR-2513,GL-6050310,34.95,Fortune National Corp Miscellaneous Company Car (Field Only) Jan2001 Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,CLASS-1758
15109,VENDOR-1513,GL-6050310,9.03,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Jan-2008 Brother Industries Ltd/Adr/,CLASS-1758
15110,VENDOR-1944,GL-6050310,29.58,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Dec2006 Daly John J,CLASS-1758
15111,VENDOR-1896,GL-6050100,7.23,Base Rent 2000Jan Store Management Cox Communications Inc /Ga/ Real Estate Lease/Rent,CLASS-1274
15112,VENDOR-1513,GL-6050310,24.23,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Mar 2017 Brother Industries Ltd/Adr/,CLASS-1758
15115,VENDOR-1191,GL-6101400,22.67,General Contractor Store Construction General Requirements Final Site Clean Up 2005Aug American Pad & Paper Co,CLASS-1522
15117,VENDOR-2447,GL-6101400,77.35,Washington Security Life Insurance Co Store Fixtures Apr 2018 Store Fixtures Fixtures Store Construction,CLASS-2112
15119,VENDOR-1086,GL-6101400,22.75,General Requirements General Contractor 2016-Aug  Alexanders Inc Store Construction Final Site Clean Up,CLASS-1522
15120,VENDOR-1069,GL-6050310,43.94,Sep 2014 Alabama Power Co Freight Forwarders Services Other Transportation Services Supply Chain Logistics,CLASS-1567
15121,VENDOR-2051,GL-6101400,83.08,Final Site Clean Up Mar 2003 Store Construction Dollar General Corp General Contractor General Requirements,CLASS-1522
15122,VENDOR-1551,GL-6050310,41.52,Miscellaneous Company Car (Field Only) Travel and Entertainment Butler Manufacturing Co 2016-Aug  Miscellaneous Company Car (Field Only) Ground Transportation,CLASS-1758
15123,VENDOR-1873,GL-6050310,64.6,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) 2015Nov Cooper Laboratories Inc Stockholders Liquidating Trust,CLASS-1758
15124,VENDOR-1098,GL-6050100,45.66,Allegheny Energy Inc Base Rent Jun 2011 Lease/Rent Real Estate Store Management,CLASS-1274
15125,VENDOR-2368,GL-6050100,58.78,Store Management Base Rent Real Estate Lease/Rent Jun2017 Fischer & Porter Co,CLASS-1274
15126,VENDOR-1235,GL-2182000,37.33,Auto Leasing Corporate Services Angeloff Co                                             /Bd 2006-May  Auto Leasing and Maintenance Other Corporate Services,CLASS-1250
15128,VENDOR-2483,GL-6050100,61.99,"Base Rent Jun 2003 Store Management Duke Energy Florida, Inc. Real Estate Lease/Rent",CLASS-1274
15129,VENDOR-1676,GL-6100410,82.52,Production Artworking/Typesetting Prototype and Comp Production/Packaging Design Champion Parts Inc 2007Jan SMAP,CLASS-1963
15130,VENDOR-1513,GL-6050310,61.58,Miscellaneous Company Car (Field Only) 2007-Nov  Travel and Entertainment Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only),CLASS-1758
15131,VENDOR-1883,GL-2182000,36.4,Apr 2002 Corning Inc /Ny Auto Leasing Auto Leasing and Maintenance Corporate Services Other Corporate Services,CLASS-1250
15132,VENDOR-1752,GL-2182000,91.67,Contingent Labor/Temp Labor Corporate Services Valero Energy Corp Nov-2015 Contingent Labor/Temp Labor Human Resources,CLASS-1376
15133,VENDOR-1883,GL-2182000,75.08,Corning Inc /Ny Auto Leasing Sep2013 Auto Leasing and Maintenance Other Corporate Services Corporate Services,CLASS-1250
15134,VENDOR-2408,GL-6050310,39.38,Fort Howard Corp Miscellaneous Company Car (Field Only) 2017Jul Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,CLASS-1758
15138,VENDOR-1873,GL-6050310,55.87,Travel and Entertainment Miscellaneous Company Car (Field Only) Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car (Field Only) 2005-Nov ,CLASS-1758
15139,VENDOR-2333,GL-6050100,57.56,Bancwest Corp/Hi Base Rent Feb-2002 Lease/Rent Real Estate Store Management,CLASS-1274
15140,VENDOR-2110,GL-6100500,22.87,National Advertising SMAP Media Buy - Traditional Magazines Nov 2008 Eac Industries Inc,CLASS-1721
15141,VENDOR-2408,GL-6050310,41.15,Miscellaneous Company Car (Field Only) Travel and Entertainment Fort Howard Corp Jun 2005 Miscellaneous Company Car (Field Only) Ground Transportation,CLASS-1758
15144,VENDOR-1132,GL-6050310,75.25,Miscellaneous Company Car (Field Only) Travel and Entertainment Amax Inc /Ny/ May-2019 Miscellaneous Company Car (Field Only) Ground Transportation,CLASS-1758
15145,VENDOR-1513,GL-6050310,83.92,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Sep-2010 Brother Industries Ltd/Adr/,CLASS-1758
15146,VENDOR-1737,GL-2182000,3.77,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Clary Corp Oct 2015 Corporate Services,CLASS-1376
15147,VENDOR-1883,GL-2182000,87.81,Corning Inc /Ny Auto Leasing 2019May Auto Leasing and Maintenance Other Corporate Services Corporate Services,CLASS-1250
15148,VENDOR-1513,GL-6050310,11.23,Travel and Entertainment Miscellaneous Company Car (Field Only) Brother Industries Ltd/Adr/ Ground Transportation Miscellaneous Company Car (Field Only) 2016Jan,CLASS-1758
15151,VENDOR-1978,GL-2182000,37.34,"Events and Promotions SMAP Trade Show Expenses Talent, Artists & Models for Trade Show Oct2002 Dawson John & Associates Inc  /Il/",CLASS-2141
15153,VENDOR-2148,GL-6101400,49.2,Sep2016 Edwards & Hamly Participations Final Site Clean Up General Requirements Store Construction General Contractor,CLASS-1522
15154,VENDOR-1944,GL-2182000,35.3,Corporate Services Auto Leasing and Maintenance Daly John J Other Corporate Services Auto Fleet Repair and Maintenance Dec-2002,CLASS-1249
15156,VENDOR-2513,GL-6050310,26.04,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) 2008Nov Fortune National Corp,CLASS-1758
15157,VENDOR-2220,GL-2182000,30.61,2006Apr Essex Group Inc Contingent Labor/Temp Labor Contingent Labor/Temp Labor Corporate Services Human Resources,CLASS-1376
15158,VENDOR-1235,GL-2182000,74.13,Auto Leasing and Maintenance Other Corporate Services May-2001 Angeloff Co                                             /Bd Corporate Services Auto Fleet Repair and Maintenance,CLASS-1249
15159,VENDOR-2229,GL-6060100,55.58,Facility Construction General Requirements Evans Inc General Contractor Final Site Clean Up 2018-Aug ,CLASS-1522
15162,VENDOR-1114,GL-6050310,79.56,Ground Transportation Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Allis Chalmers Corp 2014May Travel and Entertainment,CLASS-1758
15163,VENDOR-2349,GL-6050100,54.64,Base Rent Store Management First National Of Nebraska Inc Mar-2009 Lease/Rent Real Estate,CLASS-1274
15164,VENDOR-1873,GL-6050310,61.55,Travel and Entertainment Miscellaneous Company Car (Field Only) Cooper Laboratories Inc Stockholders Liquidating Trust Ground Transportation Miscellaneous Company Car (Field Only) Apr-2002,CLASS-1758
15166,VENDOR-1848,GL-6100500,72,SMAP Magazines National Advertising Media Buy - Traditional 2016Dec Consolidated Tomoka Land Co,CLASS-1721
15167,VENDOR-1944,GL-6050310,36.66,Travel and Entertainment Miscellaneous Company Car (Field Only) Daly John J Ground Transportation Miscellaneous Company Car (Field Only) May2009,CLASS-1758
15168,VENDOR-2514,GL-6050310,63.31,Miscellaneous Company Car (Field Only) Travel and Entertainment Fortune Natural Resources Corp Nov 2007 Miscellaneous Company Car (Field Only) Ground Transportation,CLASS-1758
15171,VENDOR-2408,GL-6050310,38.88,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Jan-2010 Fort Howard Corp,CLASS-1758
15173,VENDOR-1744,GL-6050100,59.48,Real Estate Store Management Lease/Rent Base Rent Jan2015 Cml Variable Annuity Account A,CLASS-1274
15174,VENDOR-2513,GL-6050310,17.88,Apr-2001 Fortune National Corp Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,CLASS-1758
15175,VENDOR-2137,GL-6100500,71.02,National Advertising Media Buy - Traditional Magazines Ecolab Inc. Oct2001 SMAP,CLASS-1721
15177,VENDOR-1462,GL-6050100,14.68,Base Rent Store Management Boise Cascade Corp Sep-2010 Lease/Rent Real Estate,CLASS-1274
15179,VENDOR-1044,GL-6101400,38.85,Store Construction General Requirements Advanced Micro Devices Inc General Contractor Final Site Clean Up Oct-2006,CLASS-1522
15180,VENDOR-1094,GL-6101400,71.43,Store Construction Final Site Clean Up General Contractor General Requirements Feb 2004 Allcity Insurance Co /Ny/,CLASS-1522
15181,VENDOR-1996,GL-6060100,0.41,Base Rent Facility Management Continental Capital Corp /Ca Nov-2016 Lease/Rent Real Estate,CLASS-1274
15182,VENDOR-1254,GL-6101400,74.42,General Contractor General Requirements Final Site Clean Up Arabian American Development Co Sep-2003 Store Construction,CLASS-1522
15185,VENDOR-1883,GL-2182000,36.73,Auto Leasing Corporate Services Corning Inc /Ny May 2010 Auto Leasing and Maintenance Other Corporate Services,CLASS-1250
15186,VENDOR-1883,GL-2182000,89.02,Other Corporate Services Auto Leasing and Maintenance Auto Leasing Corning Inc /Ny 2000-Oct  Corporate Services,CLASS-1250
15187,VENDOR-1117,GL-2182000,70.29,Corporate Services Contingent Labor/Temp Labor Alpha Industries Inc Human Resources Contingent Labor/Temp Labor 2015-Aug ,CLASS-1376
15190,VENDOR-1883,GL-2182000,26.28,Corning Inc /Ny Nov2015 Corporate Services Other Corporate Services Auto Leasing and Maintenance Auto Leasing,CLASS-1250
15191,VENDOR-1066,GL-6050310,5.74,Akzo Nobel Nv Miscellaneous Company Car (Field Only) 2006-Jun  Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,CLASS-1758
15192,VENDOR-1551,GL-6050310,57.23,Aug2003 Butler Manufacturing Co Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,CLASS-1758
15193,VENDOR-2160,GL-6100410,79.9,Production Artworking/Typesetting Prototype and Comp Production/Packaging Design Electro Catheter Corp Feb2005 SMAP,CLASS-1963
15196,VENDOR-2485,GL-6100410,97.36,Artworking/Typesetting Production Mar2008 Florida Public Utilities Co SMAP Prototype and Comp Production/Packaging Design,CLASS-1963
15197,VENDOR-2252,GL-6101400,73.65,General Requirements General Contractor 2015Jun Fairmount Chemical Co Inc Store Construction Final Site Clean Up,CLASS-1522
15198,VENDOR-1551,GL-6050310,88.31,Miscellaneous Company Car (Field Only) Ground Transportation Apr2000 Butler Manufacturing Co Travel and Entertainment Miscellaneous Company Car (Field Only),CLASS-1758
15199,VENDOR-1404,GL-6101400,14.73,Final Site Clean Up 2000Jul Store Construction Bell Atlantic Pennsylvania Inc General Contractor General Requirements,CLASS-1522
15200,VENDOR-1064,GL-6050310,58.36,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) May-2001 Airtex Products Inc,CLASS-1758
15201,VENDOR-2408,GL-6050310,79.9,Miscellaneous Company Car (Field Only) Travel and Entertainment Fort Howard Corp 2012Jun Miscellaneous Company Car (Field Only) Ground Transportation,CLASS-1758
15202,VENDOR-1883,GL-2182000,47.87,Corning Inc /Ny Auto Leasing 2000Aug Auto Leasing and Maintenance Other Corporate Services Corporate Services,CLASS-1250
15203,VENDOR-2408,GL-6050310,14.85,Miscellaneous Company Car (Field Only) Ground Transportation 2010-Nov  Fort Howard Corp Travel and Entertainment Miscellaneous Company Car (Field Only),CLASS-1758
15205,VENDOR-1066,GL-6050310,25.54,Miscellaneous Company Car (Field Only) Travel and Entertainment Akzo Nobel Nv 2018Jan Miscellaneous Company Car (Field Only) Ground Transportation,CLASS-1758
15206,VENDOR-2344,GL-6100500,62.93,First Mortgage Corp /Ut/ Catalogue Jan2001 Media Buy - Traditional National Advertising SMAP,CLASS-1309
15208,VENDOR-1628,GL-6100410,90.38,SMAP Artworking/Typesetting Dole Food Co Inc Production Prototype and Comp Production/Packaging Design Jan2003,CLASS-1963
15210,VENDOR-2513,GL-6050310,94.41,Nov-2013 Fortune National Corp Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,CLASS-1758
15211,VENDOR-2288,GL-6101400,1.38,Store Construction Final Site Clean Up General Contractor General Requirements 2005Sep Ferguson Enterprises Inc,CLASS-1522
15212,VENDOR-1114,GL-6050310,94.15,Travel and Entertainment Miscellaneous Company Car (Field Only) Ground Transportation Miscellaneous Company Car (Field Only) Oct 2017 Allis Chalmers Corp,CLASS-1758
15213,VENDOR-1593,GL-2182000,33.7,Human Resources Contingent Labor/Temp Labor Contingent Labor/Temp Labor Canal Electric Co Jun-2001 Corporate Services,CLASS-1376
15214,VENDOR-1771,GL-6101400,19.45,Store Construction General Requirements Colonial Trust Iii General Contractor Final Site Clean Up 2012Mar,CLASS-1522
15216,VENDOR-1191,GL-6101400,25.29,General Contractor General Requirements Final Site Clean Up American Pad & Paper Co 2002Jul Store Construction,CLASS-1522
15217,VENDOR-1608,GL-6101400,6.41,General Contractor General Requirements Final Site Clean Up Capital Southwest Corp Feb 2017 Store Construction,CLASS-1522
15218,VENDOR-1476,GL-2182000,8.21,E-Messaging Media Buy Aug-2014 SMAP Boston Co Inc Digital Paid Media Media Buy - Mobile or E-Mail Direct,CLASS-1477
15219,VENDOR-1944,GL-2182000,57.65,Daly John J Auto Fleet Repair and Maintenance Nov 2005 Auto Leasing and Maintenance Other Corporate Services Corporate Services,CLASS-1249
15220,VENDOR-1513,GL-6050310,97.4,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Aug2005 Brother Industries Ltd/Adr/,CLASS-1758
15221,VENDOR-1730,GL-6050100,63.6,Real Estate Store Management Lease/Rent Base Rent Aug2003 Ambase Corp,CLASS-1274
15222,VENDOR-2513,GL-6050310,25.24,Miscellaneous Company Car (Field Only) Sep 2013 Travel and Entertainment Fortune National Corp Ground Transportation Miscellaneous Company Car (Field Only),CLASS-1758
15223,VENDOR-1513,GL-6050310,23.13,Ground Transportation Travel and Entertainment Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Nov 2007 Brother Industries Ltd/Adr/,CLASS-1758
15224,VENDOR-2162,GL-6100500,74.83,Nov-2014 Future Communications Inc Newspaper Media Buy - Traditional SMAP National Advertising,CLASS-1805
15226,VENDOR-1513,GL-6050310,10.67,Brother Industries Ltd/Adr/ Miscellaneous Company Car (Field Only) 2010-Sep  Miscellaneous Company Car (Field Only) Ground Transportation Travel and Entertainment,CLASS-1758
15227,VENDOR-1065,GL-6050310,92.96,2004Nov Akorn Inc Miscellaneous Company Car (Field Only) Miscellaneous Company Car (Field Only) Travel and Entertainment Ground Transportation,CLASS-1758
15230,VENDOR-1715,GL-6060100,76.85,Final Site Clean Up Oct2018 Facility Construction Church Loans & Investments Trust General Contractor General Requirements,CLASS-1522
15231,VENDOR-2279,GL-6121905,46.44,SMAP Direct Mail Federal Paper Board Co Inc Printed Collateral Post Card/Mailer Sep-2018,CLASS-1919
15233,VENDOR-2019,GL-6100500,71.93,Magazines SMAP Dewey Electronics Corp Jan-2004 Media Buy - Traditional National Advertising,CLASS-1721
15235,VENDOR-1883,GL-2182000,4.17,Auto Leasing 2018Jan Corporate Services Corning Inc /Ny Other Corporate Services Auto Leasing and Maintenance,CLASS-1250
